,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
137,Alvaro Soler,138,281397,La Libertad,0.0149,https://api.spotify.com/v1/audio-analysis/3DsLBZjoU5AYxZXsepHtsW,0.676,192853,0.792,3DsLBZjoU5AYxZXsepHtsW,0.0,5,0.414,-4.594,0,0.0351,112.004,4,https://api.spotify.com/v1/tracks/3DsLBZjoU5AYxZXsepHtsW,audio_features,spotify:track:3DsLBZjoU5AYxZXsepHtsW,0.57
138,Vegedream,139,280934,Personne,0.238,https://api.spotify.com/v1/audio-analysis/0BRx5Gk5fpTqtgXMGAQ4rW,0.827,232307,0.746,0BRx5Gk5fpTqtgXMGAQ4rW,0.0,0,0.129,-5.273,0,0.0351,130.061,4,https://api.spotify.com/v1/tracks/0BRx5Gk5fpTqtgXMGAQ4rW,audio_features,spotify:track:0BRx5Gk5fpTqtgXMGAQ4rW,0.732
139,Aya Nakamura,140,280795,Copines,0.261,https://api.spotify.com/v1/audio-analysis/1Bhm5HNO1cq8olDbBmokyL,0.702,171720,0.786,1Bhm5HNO1cq8olDbBmokyL,0.0,8,0.105,-3.943,0,0.086,180.02,4,https://api.spotify.com/v1/tracks/1Bhm5HNO1cq8olDbBmokyL,audio_features,spotify:track:1Bhm5HNO1cq8olDbBmokyL,0.904
140,KeBlack,141,280672,Tchop,0.741,https://api.spotify.com/v1/audio-analysis/4J1Xsr38zb9BjM6QraKLqK,0.461,201656,0.43,4J1Xsr38zb9BjM6QraKLqK,0.0,0,0.109,-8.689,0,0.0453,101.152,4,https://api.spotify.com/v1/tracks/4J1Xsr38zb9BjM6QraKLqK,audio_features,spotify:track:4J1Xsr38zb9BjM6QraKLqK,0.738
141,Kpoint,142,279031,Ma 6t a craqué (feat. Ninho),0.473,https://api.spotify.com/v1/audio-analysis/2KtpMkc1TS1FMwy9FR0gCM,0.816,197597,0.684,2KtpMkc1TS1FMwy9FR0gCM,1.14e-06,11,0.137,-8.478,0,0.197,89.999,3,https://api.spotify.com/v1/tracks/2KtpMkc1TS1FMwy9FR0gCM,audio_features,spotify:track:2KtpMkc1TS1FMwy9FR0gCM,0.815
142,Koba LaD,143,277746,Cellophané,0.338,https://api.spotify.com/v1/audio-analysis/41Rp0dMSgO2QeguHANPsCD,0.769,203427,0.597,41Rp0dMSgO2QeguHANPsCD,0.0,11,0.0812,-7.515,0,0.265,142.026,4,https://api.spotify.com/v1/tracks/41Rp0dMSgO2QeguHANPsCD,audio_features,spotify:track:41Rp0dMSgO2QeguHANPsCD,0.74
143,Lil Nas X,144,277629,Panini,0.342,https://api.spotify.com/v1/audio-analysis/6fTt0CH2t0mdeB2N9XFG5r,0.703,114893,0.594,6fTt0CH2t0mdeB2N9XFG5r,0.0,5,0.123,-6.146,0,0.0752,153.848,4,https://api.spotify.com/v1/tracks/6fTt0CH2t0mdeB2N9XFG5r,audio_features,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,0.475
144,Roméo Elvis,145,276717,Malade,0.49,https://api.spotify.com/v1/audio-analysis/35e7ckbWgHjHI9n3oL6jnd,0.669,191680,0.639,35e7ckbWgHjHI9n3oL6jnd,1.4e-06,0,0.106,-8.534,1,0.0498,99.604,4,https://api.spotify.com/v1/tracks/35e7ckbWgHjHI9n3oL6jnd,audio_features,spotify:track:35e7ckbWgHjHI9n3oL6jnd,0.286
145,Drake,146,276645,Money In The Grave (Drake ft. Rick Ross),0.101,https://api.spotify.com/v1/audio-analysis/5ry2OE6R2zPQFDO85XkgRb,0.831,205427,0.502,5ry2OE6R2zPQFDO85XkgRb,0.0,10,0.122,-4.045,0,0.046,100.541,4,https://api.spotify.com/v1/tracks/5ry2OE6R2zPQFDO85XkgRb,audio_features,spotify:track:5ry2OE6R2zPQFDO85XkgRb,0.101
146,RK,147,276628,Cataleya,0.632,https://api.spotify.com/v1/audio-analysis/4RPvjl3IcvOigNqrrpCmZa,0.646,202660,0.589,4RPvjl3IcvOigNqrrpCmZa,0.0,4,0.211,-7.067,0,0.199,176.093,4,https://api.spotify.com/v1/tracks/4RPvjl3IcvOigNqrrpCmZa,audio_features,spotify:track:4RPvjl3IcvOigNqrrpCmZa,0.783
147,Aya Nakamura,148,275998,Djadja,0.0612,https://api.spotify.com/v1/audio-analysis/7sKDftgGirHWTVFMtJoDoh,0.829,171133,0.796,7sKDftgGirHWTVFMtJoDoh,0.0,5,0.111,-5.428,1,0.11,97.976,4,https://api.spotify.com/v1/tracks/7sKDftgGirHWTVFMtJoDoh,audio_features,spotify:track:7sKDftgGirHWTVFMtJoDoh,0.551
148,CNCO,149,274035,Pretend,0.284,https://api.spotify.com/v1/audio-analysis/78Nyf6RlqBANlMhSnKyClT,0.68,200566,0.883,78Nyf6RlqBANlMhSnKyClT,0.0,11,0.14,-3.862,0,0.103,101.983,4,https://api.spotify.com/v1/tracks/78Nyf6RlqBANlMhSnKyClT,audio_features,spotify:track:78Nyf6RlqBANlMhSnKyClT,0.834
149,Ninho,150,273719,Jamais (feat. Dadju),0.492,https://api.spotify.com/v1/audio-analysis/6nIr35G9lVYMcuedV4NY2t,0.596,229123,0.709,6nIr35G9lVYMcuedV4NY2t,0.0,4,0.124,-6.256,0,0.319,94.162,4,https://api.spotify.com/v1/tracks/6nIr35G9lVYMcuedV4NY2t,audio_features,spotify:track:6nIr35G9lVYMcuedV4NY2t,0.333
150,Calvin Harris,151,273078,Giant (with Rag'n'Bone Man),0.016,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,0.807,229184,0.887,5itOtNx0WxtJmi1TQ3RuRd,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,audio_features,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,0.606
151,PLK,152,271202,Monégasque,0.416,https://api.spotify.com/v1/audio-analysis/52iVuTAP70Gy1Uy9xkr2No,0.722,203553,0.734,52iVuTAP70Gy1Uy9xkr2No,0.0,6,0.115,-4.583,1,0.231,74.883,4,https://api.spotify.com/v1/tracks/52iVuTAP70Gy1Uy9xkr2No,audio_features,spotify:track:52iVuTAP70Gy1Uy9xkr2No,0.612
152,Bolémvn,153,270378,Sankhara #3 (Lamelle),0.364,https://api.spotify.com/v1/audio-analysis/5nWGM6krCuZVsN9DodMVSE,0.808,217785,0.683,5nWGM6krCuZVsN9DodMVSE,0.0,7,0.306,-7.062,0,0.268,125.061,4,https://api.spotify.com/v1/tracks/5nWGM6krCuZVsN9DodMVSE,audio_features,spotify:track:5nWGM6krCuZVsN9DodMVSE,0.638
153,Leto,154,270120,A&H,0.295,https://api.spotify.com/v1/audio-analysis/1pLlehxX4GfSzGNgqDiTDo,0.618,190693,0.495,1pLlehxX4GfSzGNgqDiTDo,1.74e-06,5,0.108,-10.011,0,0.29,133.753,4,https://api.spotify.com/v1/tracks/1pLlehxX4GfSzGNgqDiTDo,audio_features,spotify:track:1pLlehxX4GfSzGNgqDiTDo,0.267
154,PLK,155,266836,Émotif (Booska 1H),0.564,https://api.spotify.com/v1/audio-analysis/1O2mX6MrjsJlkCGEF0TVWL,0.891,161737,0.749,1O2mX6MrjsJlkCGEF0TVWL,0.0,4,0.137,-4.761,0,0.071,133.994,4,https://api.spotify.com/v1/tracks/1O2mX6MrjsJlkCGEF0TVWL,audio_features,spotify:track:1O2mX6MrjsJlkCGEF0TVWL,0.865
155,Jonas Blue,156,265663,What I Like About You (feat. Theresa Rex),0.289,https://api.spotify.com/v1/audio-analysis/4NSW0Km5ZG60L8FthUebPJ,0.46,220396,0.8,4NSW0Km5ZG60L8FthUebPJ,6.16e-06,1,0.121,-3.584,1,0.05,102.46,4,https://api.spotify.com/v1/tracks/4NSW0Km5ZG60L8FthUebPJ,audio_features,spotify:track:4NSW0Km5ZG60L8FthUebPJ,0.553
