,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
77,0.616,0.551,-7.619,0.0342,0.091,0.742,0.114,0.224,120.073
78,0.647,0.438,-7.957,0.0294,0.481,0.0,0.0761,0.583,94.99
79,0.598,0.693,-4.977,0.0349,0.109,9.57e-05,0.0935,0.76,169.925
80,0.657,0.793,-6.293,0.0436,0.0435,0.848,0.321,0.106,105.015
81,0.893,0.456,-5.82,0.167,0.216,0.0,0.326,0.681,108.037
82,0.689,0.702,-5.73,0.042,0.0233,7.73e-06,0.1,0.27,105.079
83,0.449,0.597,-4.401,0.14,0.347,1.03e-05,0.197,0.505,134.598
84,0.607,0.478,-5.702,0.031,0.649,0.0,0.0928,0.255,88.979
85,0.583,0.838,-4.392,0.119,0.0289,0.000901,0.155,0.521,199.846
86,0.745,0.477,-7.706,0.088,0.202,0.0,0.12,0.454,136.055
87,0.762,0.514,-7.04,0.0525,0.523,6.24e-05,0.13,0.283,95.027
88,0.46,0.498,-6.312,0.0282,0.219,0.00329,0.099,0.154,76.902
89,0.693,0.72,-5.661,0.0362,0.0178,1.44e-05,0.0544,0.767,94.995
90,0.857,0.22,-14.115,0.23,0.789,0.0,0.129,0.583,100.976
91,0.459,0.606,-8.924,0.361,0.152,1.95e-06,0.1,0.3,97.038
92,0.763,0.681,-7.291,0.0338,0.237,0.000363,0.0917,0.227,120.025
93,0.805,0.441,-8.503,0.0668,0.421,4.38e-05,0.123,0.585,102.012
94,0.782,0.564,-7.752,0.226,0.164,0.00689,0.182,0.448,101.058
95,0.675,0.604,-6.266,0.193,0.752,0.0,0.111,0.456,168.034
96,0.711,0.517,-7.695,0.0391,0.154,0.0,0.149,0.294,119.945
97,0.631,0.624,-5.504,0.0597,0.0718,0.0,0.145,0.392,179.925
98,0.611,0.653,-6.58,0.0447,0.0559,4.4e-05,0.691,0.496,159.934
99,0.548,0.839,-2.371,0.0644,0.135,0.0,0.102,0.314,98.932
100,0.676,0.586,-6.271,0.063,0.306,0.0,0.0937,0.45,76.991
101,0.713,0.592,-4.621,0.0272,0.181,0.0,0.338,0.619,106.013
102,0.702,0.586,-6.689,0.0415,0.00476,0.000155,0.0925,0.546,159.975
103,0.869,0.4,-13.166,0.0652,0.485,0.000238,0.0895,0.26,123.982
104,0.615,0.471,-7.345,0.175,0.0874,0.0,0.101,0.354,79.983
105,0.869,0.513,-5.579,0.0495,0.173,0.0,0.351,0.738,128.012
106,0.745,0.713,-2.0,0.124,0.483,0.0,0.339,0.714,152.925
107,0.82,0.741,-9.159,0.122,0.0902,0.0,0.135,0.429,127.967
108,0.87,0.542,-6.959,0.0397,0.248,7.74e-05,0.112,0.323,105.03
109,0.852,0.768,-5.58,0.241,0.0268,0.0,0.0822,0.329,135.034
110,0.816,0.518,-8.292,0.112,0.215,0.0,0.0707,0.62,142.001
111,0.748,0.742,-6.516,0.0979,0.154,3.06e-05,0.196,0.474,81.017
112,0.735,0.656,-6.573,0.0359,0.114,0.0,0.17,0.298,129.989
113,0.84,0.596,-4.319,0.0918,0.216,0.0,0.0897,0.71,139.937
114,0.647,0.484,-9.76,0.0595,0.0339,0.0,0.0496,0.436,139.847
115,0.729,0.519,-3.843,0.0292,0.406,0.0,0.196,0.46,120.059
116,0.646,0.622,-8.466,0.0307,0.0907,1.13e-06,0.0995,0.157,129.979
117,0.72,0.711,-5.831,0.0792,0.17,4.58e-05,0.0783,0.732,177.937
118,0.743,0.635,-6.928,0.0522,0.14,5.08e-05,0.0887,0.811,166.0
119,0.763,0.554,-4.796,0.0406,0.0429,0.0,0.103,0.193,125.039
120,0.851,0.637,-5.534,0.0977,0.165,0.0,0.366,0.526,130.071
121,0.679,0.691,-5.809,0.117,0.34,3.58e-06,0.136,0.345,180.069
122,0.829,0.609,-7.061,0.0542,0.237,0.0,0.231,0.279,130.025
123,0.782,0.54,-7.751,0.0553,0.19,0.0,0.0791,0.708,94.978
124,0.742,0.505,-5.011,0.0958,0.143,0.0,0.118,0.213,140.128
125,0.79,0.745,-3.141,0.0333,0.144,0.0,0.0847,0.541,121.942
126,0.668,0.799,-2.797,0.311,0.0495,0.0,0.0907,0.431,140.133
127,0.641,0.654,-7.525,0.042,0.165,0.00102,0.137,0.731,170.12
128,0.851,0.657,-5.147,0.077,0.0395,0.0,0.123,0.388,140.05
129,0.612,0.783,-4.588,0.098,0.0564,1.65e-06,0.0654,0.87,203.953
130,0.84,0.596,-4.319,0.0918,0.216,0.0,0.0897,0.71,139.937
131,0.784,0.761,-4.253,0.0343,0.108,5.05e-05,0.05,0.385,105.005
132,0.703,0.376,-17.772,0.0752,0.278,0.0,0.054,0.65,140.015
133,0.837,0.784,-4.531,0.101,0.175,0.0,0.0897,0.748,94.036
134,0.672,0.83,-4.028,0.0599,0.206,0.0,0.0751,0.774,172.104
135,0.682,0.674,-5.666,0.237,0.123,0.0,0.271,0.637,199.989
136,0.717,0.685,-3.181,0.0414,0.401,0.0,0.199,0.432,139.965
137,0.776,0.587,-7.004,0.0604,0.424,1.04e-06,0.201,0.652,140.029
138,0.762,0.631,-4.837,0.0544,0.178,0.0,0.146,0.379,118.969
139,0.538,0.676,-8.846,0.038,0.665,7.98e-06,0.135,0.158,82.522
140,0.654,0.701,-5.317,0.0773,0.0297,0.000439,0.0821,0.513,184.125
141,0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.844,94.016
142,0.755,0.822,-4.274,0.0597,0.381,0.0,0.307,0.903,142.407
143,0.596,0.715,-5.501,0.0566,0.165,0.0,0.104,0.974,145.624
144,0.84,0.728,-5.479,0.175,0.0553,0.0,0.201,0.79,90.022
145,0.387,0.566,-10.338,0.037,0.549,0.0,0.183,0.956,77.768
146,0.699,0.692,-3.535,0.239,0.121,0.0,0.084,0.949,138.03
147,0.73,0.732,-5.167,0.051,0.0427,2.22e-06,0.262,0.974,129.974
148,0.781,0.842,-5.334,0.0403,0.102,0.0,0.0657,0.71,120.054
149,0.799,0.708,-7.31,0.108,0.0132,7.34e-06,0.123,0.53,127.032
150,0.661,0.873,-5.844,0.037,0.0014,0.000107,0.0776,0.861,89.988
151,0.901,0.507,-12.256,0.309,0.0826,5.96e-06,0.107,0.722,96.045
152,0.755,0.832,-2.741,0.116,0.0746,1.27e-06,0.291,0.735,120.032
153,0.786,0.736,-5.967,0.0526,0.31,0.0,0.0977,0.406,100.934
154,0.648,0.943,-2.86,0.0942,0.0243,0.0,0.064,0.695,129.055
155,0.746,0.993,-2.134,0.0499,0.0866,0.0548,0.0689,0.972,122.046
156,0.646,0.846,-6.19,0.0314,0.0342,0.0,0.22,0.701,96.025
157,0.82,0.802,-3.592,0.0279,0.0137,3.79e-05,0.123,0.893,125.988
158,0.922,0.681,-4.796,0.143,0.177,0.000252,0.0646,0.792,124.997
159,0.816,0.813,-7.798,0.0664,0.0662,2.77e-06,0.602,0.436,127.979
160,0.8,0.692,-5.57,0.0614,0.342,1.92e-06,0.0554,0.917,112.002
161,0.749,0.925,-5.034,0.227,0.241,0.0,0.52,0.641,86.989
162,0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.649,124.072
163,0.756,0.436,-9.683,0.0848,0.0552,1.27e-05,0.0699,0.34,159.992
164,0.654,0.711,-3.682,0.0697,0.145,0.0,0.325,0.884,184.203
165,0.659,0.624,-4.2,0.0732,0.216,0.0,0.136,0.83,180.159
166,0.804,0.686,-7.437,0.0413,0.0211,0.0,0.142,0.933,105.0
167,0.712,0.783,-2.525,0.0335,0.356,0.0,0.109,0.845,98.049
168,0.741,0.59,-4.625,0.0913,0.283,0.0,0.179,0.961,179.861
