,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
149,Little Glee Monster,150,81328,世界はあなたに笑いかけている,0.434,https://api.spotify.com/v1/audio-analysis/7yXwERf5YbjCXkVqU1fZvA,0.788,232773,0.888,7yXwERf5YbjCXkVqU1fZvA,0.0,8,0.155,-3.024,1,0.101,120.96,4,https://api.spotify.com/v1/tracks/7yXwERf5YbjCXkVqU1fZvA,audio_features,spotify:track:7yXwERf5YbjCXkVqU1fZvA,0.761
150,ayaka,151,81232,にじいろ,0.121,https://api.spotify.com/v1/audio-analysis/3JrxNi0sQ1Lnx8eGonp3Ma,0.643,224720,0.569,3JrxNi0sQ1Lnx8eGonp3Ma,0.0,2,0.0752,-4.401,1,0.0232,91.966,4,https://api.spotify.com/v1/tracks/3JrxNi0sQ1Lnx8eGonp3Ma,audio_features,spotify:track:3JrxNi0sQ1Lnx8eGonp3Ma,0.62
151,Ed Sheeran,152,81209,South of the Border (feat. Camila Cabello & Cardi B),0.148,https://api.spotify.com/v1/audio-analysis/4vUmTMuQqjdnvlZmAH61Qk,0.857,204467,0.621,4vUmTMuQqjdnvlZmAH61Qk,0.0,9,0.0865,-6.376,0,0.0824,97.986,4,https://api.spotify.com/v1/tracks/4vUmTMuQqjdnvlZmAH61Qk,audio_features,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,0.668
152,Maroon 5,153,81042,Sugar,0.0553,https://api.spotify.com/v1/audio-analysis/0ljEFYEFuqspdPCWn75FPP,0.744,235493,0.783,0ljEFYEFuqspdPCWn75FPP,0.0,1,0.086,-7.077,1,0.0337,120.042,4,https://api.spotify.com/v1/tracks/0ljEFYEFuqspdPCWn75FPP,audio_features,spotify:track:0ljEFYEFuqspdPCWn75FPP,0.885
153,HIRAIDAI,154,80729,また逢う日まで,0.776,https://api.spotify.com/v1/audio-analysis/3awymLmIrvn9lkJeFpmRSf,0.472,255027,0.465,3awymLmIrvn9lkJeFpmRSf,0.0,11,0.168,-6.124,1,0.0279,78.007,4,https://api.spotify.com/v1/tracks/3awymLmIrvn9lkJeFpmRSf,audio_features,spotify:track:3awymLmIrvn9lkJeFpmRSf,0.377
154,Chris Brown,155,80674,No Guidance (feat. Drake),0.123,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,0.698,260640,0.454,6XHVuErjQ4XNm6nDPVCxVX,0.0,1,0.155,-6.756,0,0.151,92.932,4,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,audio_features,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,0.137
155,Aimer,156,80172,Choucho Musubi,0.402,https://api.spotify.com/v1/audio-analysis/6Flllj0iIJPwXUpxL9KdxC,0.51,305333,0.5,6Flllj0iIJPwXUpxL9KdxC,0.0,7,0.0929,-7.399,1,0.0362,142.069,4,https://api.spotify.com/v1/tracks/6Flllj0iIJPwXUpxL9KdxC,audio_features,spotify:track:6Flllj0iIJPwXUpxL9KdxC,0.355
156,sumika,157,79612,ファンファーレ,0.0282,https://api.spotify.com/v1/audio-analysis/2OCtw3vaD0urZuYOeuNw4V,0.63,187480,0.945,2OCtw3vaD0urZuYOeuNw4V,0.0,3,0.252,-2.354,1,0.0487,109.092,4,https://api.spotify.com/v1/tracks/2OCtw3vaD0urZuYOeuNw4V,audio_features,spotify:track:2OCtw3vaD0urZuYOeuNw4V,0.715
157,Masaki Suda,158,79204,Kiss Dakede (feat. Aimyon),0.795,https://api.spotify.com/v1/audio-analysis/3KR2OpCdnpM70TEj6IkU95,0.552,227480,0.391,3KR2OpCdnpM70TEj6IkU95,0.000399,5,0.0922,-7.803,1,0.0277,72.07,4,https://api.spotify.com/v1/tracks/3KR2OpCdnpM70TEj6IkU95,audio_features,spotify:track:3KR2OpCdnpM70TEj6IkU95,0.221
158,Avicii,159,79159,SOS (feat. Aloe Blacc),0.272,https://api.spotify.com/v1/audio-analysis/2x0RZdkZcD8QRI53XT4GI5,0.802,157202,0.645,2x0RZdkZcD8QRI53XT4GI5,0.0,5,0.119,-6.181,0,0.0715,100.001,4,https://api.spotify.com/v1/tracks/2x0RZdkZcD8QRI53XT4GI5,audio_features,spotify:track:2x0RZdkZcD8QRI53XT4GI5,0.376
159,Ketsumeishi,160,78981,さくら,0.308,https://api.spotify.com/v1/audio-analysis/5rfUCmoI7axj6mjpu1Rto5,0.713,316040,0.838,5rfUCmoI7axj6mjpu1Rto5,4.54e-06,8,0.235,-4.111,1,0.0257,119.992,4,https://api.spotify.com/v1/tracks/5rfUCmoI7axj6mjpu1Rto5,audio_features,spotify:track:5rfUCmoI7axj6mjpu1Rto5,0.848
160,HY,161,78927,NAO,0.491,https://api.spotify.com/v1/audio-analysis/2PeCrMLUayMPZnLZPkJxOJ,0.561,366773,0.422,2PeCrMLUayMPZnLZPkJxOJ,0.0,2,0.197,-6.602,1,0.0292,75.982,4,https://api.spotify.com/v1/tracks/2PeCrMLUayMPZnLZPkJxOJ,audio_features,spotify:track:2PeCrMLUayMPZnLZPkJxOJ,0.255
161,Official HIGE DANdism,162,78009,Tell Me Baby,0.0209,https://api.spotify.com/v1/audio-analysis/5yeXw1L7CqKXkHaJ0W4RrT,0.651,281953,0.812,5yeXw1L7CqKXkHaJ0W4RrT,0.0,0,0.267,-3.382,1,0.032,99.996,4,https://api.spotify.com/v1/tracks/5yeXw1L7CqKXkHaJ0W4RrT,audio_features,spotify:track:5yeXw1L7CqKXkHaJ0W4RrT,0.924
162,Aimer,163,78003,Koiwazurai,0.297,https://api.spotify.com/v1/audio-analysis/5v2xgL8y4XI0hi50cU574j,0.675,232333,0.499,5v2xgL8y4XI0hi50cU574j,0.0,10,0.337,-5.825,1,0.0258,93.917,4,https://api.spotify.com/v1/tracks/5v2xgL8y4XI0hi50cU574j,audio_features,spotify:track:5v2xgL8y4XI0hi50cU574j,0.775
163,SEKAI NO OWARI,164,77859,sasanqua,0.319,https://api.spotify.com/v1/audio-analysis/0NvnWTFYUnfMRmHw7ZXF0z,0.5,270219,0.27,0NvnWTFYUnfMRmHw7ZXF0z,6.53e-06,5,0.123,-8.248,1,0.031,149.955,4,https://api.spotify.com/v1/tracks/0NvnWTFYUnfMRmHw7ZXF0z,audio_features,spotify:track:0NvnWTFYUnfMRmHw7ZXF0z,0.314
164,Tomoya Nakamura,165,77513,"A Whole New World - From ""Aladdin""",0.663,https://api.spotify.com/v1/audio-analysis/7w4l1k876FotjQ9UAi8sqn,0.4,175600,0.383,7w4l1k876FotjQ9UAi8sqn,0.0,0,0.113,-8.394,1,0.0345,121.812,4,https://api.spotify.com/v1/tracks/7w4l1k876FotjQ9UAi8sqn,audio_features,spotify:track:7w4l1k876FotjQ9UAi8sqn,0.118
165,Kygo,166,77168,Higher Love,0.0154,https://api.spotify.com/v1/audio-analysis/6oJ6le65B3SEqPwMRNXWjY,0.693,228267,0.678,6oJ6le65B3SEqPwMRNXWjY,6.05e-06,8,0.101,-7.159,1,0.0324,103.952,4,https://api.spotify.com/v1/tracks/6oJ6le65B3SEqPwMRNXWjY,audio_features,spotify:track:6oJ6le65B3SEqPwMRNXWjY,0.404
166,Sheena Ringo,167,76999,長く短い祭,0.0567,https://api.spotify.com/v1/audio-analysis/4hWI3r78IDOhPXSHd2f0Az,0.614,249547,0.788,4hWI3r78IDOhPXSHd2f0Az,0.0472,2,0.221,-3.808,0,0.112,124.876,4,https://api.spotify.com/v1/tracks/4hWI3r78IDOhPXSHd2f0Az,audio_features,spotify:track:4hWI3r78IDOhPXSHd2f0Az,0.778
167,Ketsumeishi,168,76734,友よ 〜 この先もずっと・・・,0.042,https://api.spotify.com/v1/audio-analysis/3A0VFRUxhqpJeOxo0rklqC,0.635,315413,0.914,3A0VFRUxhqpJeOxo0rklqC,0.0,0,0.2,-3.84,1,0.0464,127.024,4,https://api.spotify.com/v1/tracks/3A0VFRUxhqpJeOxo0rklqC,audio_features,spotify:track:3A0VFRUxhqpJeOxo0rklqC,0.674
