,_id,album,artists,country,duration_ms,href,id,name,popularity,album_href,artists_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
12,5cdcc0e2e77ddf1a8fa6bb71,Llamame Mas Temprano / Hicimos un Pacto,Mano Arriba,argentina,185469,https://api.spotify.com/v1/tracks/24RkNgHglBOmquzjFaAUNa,24RkNgHglBOmquzjFaAUNa,Llamame Mas Temprano,0,https://api.spotify.com/v1/albums/3CFbSuENWVFji2rUwx1g1V,https://api.spotify.com/v1/artists/4YBAOrBF9vBB9inOLtpRzp,0.779,0.844,-4.509,0.085,0.152,0.0,0.0778,0.967,149.88
13,5cdcc0e2e77ddf1a8fa6bb72,Mata,Marka Akme,argentina,160588,https://api.spotify.com/v1/tracks/47zjm8YssRCiovC6Wd7A9i,47zjm8YssRCiovC6Wd7A9i,Mata,0,https://api.spotify.com/v1/albums/0p3SVJMMQCHHJL4t7lqhym,https://api.spotify.com/v1/artists/4SgKWjM7cJDCh2aY9H4HZf,0.815,0.8,-3.571,0.0357,0.39,0.0,0.125,0.936,88.02
14,5cdcc0e2e77ddf1a8fa6bb73,De vez en cuando (feat. Los Bonnitos),#TocoParaVos,argentina,172630,https://api.spotify.com/v1/tracks/7o5yIWc1D6QAQulg8CgY99,7o5yIWc1D6QAQulg8CgY99,De vez en cuando (feat. Los Bonnitos),33,https://api.spotify.com/v1/albums/1mzQ6NRtyzDcOlNhTLmMyV,https://api.spotify.com/v1/artists/4PdggFNYwGfjRfkdG5OfES,0.805,0.685,-5.49,0.0425,0.0448,0.0,0.159,0.75,103.004
15,5cdcc0e2e77ddf1a8fa6bb78,Bobo,J Balvin,argentina,209600,https://api.spotify.com/v1/tracks/0yOBoHL98lOPc1HGrAvNt8,0yOBoHL98lOPc1HGrAvNt8,Bobo,1,https://api.spotify.com/v1/albums/3WqKxF3iyBCIoPUU0vRDaJ,https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5,0.73,0.885,-2.902,0.116,0.109,1.73e-05,0.117,0.799,177.939
16,5cdcc0e2e77ddf1a8fa6bb7c,Hasta el Amanecer (The Remix),Nicky Jam,argentina,188080,https://api.spotify.com/v1/tracks/1zzG4BgZSJOLyLuzhqheua,1zzG4BgZSJOLyLuzhqheua,Hasta el Amanecer - The Remix,1,https://api.spotify.com/v1/albums/4fBLXeVsagOEZnzmEftUOh,https://api.spotify.com/v1/artists/1SupJlEpv7RS2tPNRaHViT,0.814,0.721,-4.998,0.0401,0.224,0.0,0.0632,0.677,93.981
17,5cdcc0e2e77ddf1a8fa6bb7d,Canta,VI-EM,argentina,177506,https://api.spotify.com/v1/tracks/2fXInmEXr1pLbXRhZnmXsR,2fXInmEXr1pLbXRhZnmXsR,Junto a Mí,0,https://api.spotify.com/v1/albums/6zr1SIzik6R0dPMFwcHEiE,https://api.spotify.com/v1/artists/44hJXrVhoyA1fV1dn4wdHC,0.623,0.845,-2.756,0.0574,0.409,0.0,0.146,0.412,96.071
18,5cdcc0e2e77ddf1a8fa6bb7e,Fuego en la noche,El Super Hobby,argentina,142341,https://api.spotify.com/v1/tracks/3UEeIjM96PukPjVwzg4Zfe,3UEeIjM96PukPjVwzg4Zfe,Luna llena - En vivo,0,https://api.spotify.com/v1/albums/1vgieZyRVtiYhrUT214YiH,https://api.spotify.com/v1/artists/4nTNHKAVWQyqnvRuBW4N4V,0.55,0.893,-4.524,0.0641,0.696,0.0,0.33,0.91,91.982
19,5cdcc0e2e77ddf1a8fa6bb7f,De Bailadeta,Agapornis,argentina,166506,https://api.spotify.com/v1/tracks/11aJTEmPwKKoKRTpsudE1H,11aJTEmPwKKoKRTpsudE1H,Hoy,44,https://api.spotify.com/v1/albums/45J24eNEQUEY3GNo44xgkw,https://api.spotify.com/v1/artists/27Yc5RzJf27tJfqezJnHY1,0.709,0.819,-5.82,0.0559,0.127,0.0,0.0672,0.897,104.969
20,5cdcc0e2e77ddf1a8fa6bb80,Yo Bailaré (feat. Zenon Pereyra),Halconizados de Amor,argentina,182166,https://api.spotify.com/v1/tracks/2olCTYZA0iEuLVv1W4gSg0,2olCTYZA0iEuLVv1W4gSg0,Yo Bailaré (feat. Zenon Pereyra),36,https://api.spotify.com/v1/albums/06fSlEF4yxgDkTnfolrJya,https://api.spotify.com/v1/artists/3v658DOBjBgmCnzoJcjLj5,0.793,0.605,-6.188,0.0535,0.101,0.0,0.0768,0.892,113.03
21,5cdcc0e2e77ddf1a8fa6bb81,"Ginza (Remix) - Single [feat. Arcangel, De La Ghetto, Zion, Farruko, Daddy Yankee, Yandel & Nicky Jam]",J Balvin,argentina,395185,https://api.spotify.com/v1/tracks/5n6hBKjSXqcphk6XvoGats,5n6hBKjSXqcphk6XvoGats,"Ginza (Remix) [feat. Nicky Jam, Yandel, Daddy Yankee, Farruko, Zion, De La Ghetto & Arcangel]",0,https://api.spotify.com/v1/albums/55UTOfst4BA0KxzsFRu1yd,https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5,0.734,0.881,-3.372,0.164,0.134,0.0,0.172,0.865,102.013
